Collection Title,"Somali Songs, 1955-1991: The Maryan “Aryette” Omar Ali Collection"
Collection Dates,Creation: 1955 - 1991
Collection Identifier,AWM Spec Coll 103
EAD ID,mus00044

Database Number,Component Title,Component Date,Start Year,End Year,Component identifier,Container info,Component type,Component creator,Digital content link,Access Note,Physical description,Level 1,Level 2
mus00044c00166,Side B. Track 5: Xaggee fudud,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Hibo Maxamed and Faysal Cumar Mushteeg (Hibo Mohamed and Faisal Omar Mushteeg), 
mus00044c00013,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12211",item,,"","","",Audiocassettes, , 
mus00044c00168,Side A. Track 1: Bulliyeey,"",1975-09-09,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00169,Side A. Track 2: Yaxaas ,"",1965-02-03,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00170,Side A. Track 3: Ahlan Wa Sahlan,"",1967-02-06,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00171,Side A. Track 4: Talo gooniya ,"",1972-03-01,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00172,Side B. Track 1: Talo gooniya ,"",1972-03-01,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00173,Side B. Track 2: Ila heshii ,"",1965-03-02,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00174,Side B. Track 3: Iilka ii qoda ,"",1968-04-06,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00175,Side B. Track 4: Umalay jacayl ,"",1974-01-06,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cumar Dhuule and Axmed Gacayte (Omar Dule and Ahmed Ga`ayte), 
mus00044c00014,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12212",item,,"","","",Audiocassettes, , 
mus00044c00176,Side A. Track 1: Laqanyada Jacaylka  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
mus00044c00177,Side A. Track 2: Weydaartay  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
