Collection Title,"Somali Songs, 1955-1991: The Maryan “Aryette” Omar Ali Collection"
Collection Dates,Creation: 1955 - 1991
Collection Identifier,AWM Spec Coll 103
EAD ID,mus00044

Database Number,Component Title,Component Date,Start Year,End Year,Component identifier,Container info,Component type,Component creator,Digital content link,Access Note,Physical description,Level 1,Level 2
mus00044c00682,Side B. Track 1: Kaftan iyo jacaylkuna,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sir Jacayl (Songs by Djibouti Singers Nimco Jaamac, Cabdinuur Awaale, Nadiifo Axmed and Cabdi Cali (Nimo Jama, Abdinur Alale, Nadifo Ahmed and Abdi Ali)", 
mus00044c00683,Side B. Track 2: Alla kala fogaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sir Jacayl (Songs by Djibouti Singers Nimco Jaamac, Cabdinuur Awaale, Nadiifo Axmed and Cabdi Cali (Nimo Jama, Abdinur Alale, Nadifo Ahmed and Abdi Ali)", 
mus00044c00684,Side B. Track 3: Anna wadhida dumarkiyo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sir Jacayl (Songs by Djibouti Singers Nimco Jaamac, Cabdinuur Awaale, Nadiifo Axmed and Cabdi Cali (Nimo Jama, Abdinur Alale, Nadifo Ahmed and Abdi Ali)", 
mus00044c00685,Side B. Track 4: Garta qaad jacaylow,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sir Jacayl (Songs by Djibouti Singers Nimco Jaamac, Cabdinuur Awaale, Nadiifo Axmed and Cabdi Cali (Nimo Jama, Abdinur Alale, Nadifo Ahmed and Abdi Ali)", 
mus00044c00686,Side B. Track 5: Caashaqa sed ima harinee,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sir Jacayl (Songs by Djibouti Singers Nimco Jaamac, Cabdinuur Awaale, Nadiifo Axmed and Cabdi Cali (Nimo Jama, Abdinur Alale, Nadifo Ahmed and Abdi Ali)", 
mus00044c00699,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12279",item,,"","","",Audiocassettes, , 
mus00044c00700,Side A. Track 1: Waqti,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00701,Side A. Track 2: Qaraami,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00702,Side A. Track 3: Nasteexo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00703,Side A. Track 4: Qaraami,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00704,Side A. Track 5: Raaxeeye ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00705,Side B. Track 1: Gufaaco,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00706,Side B. Track 2: Sannad waliba hoodiyo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00707,Side B. Track 3: Ii dheel dhudiyeey,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00708,Side B. Track 4: Ma ogtahay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Suleebaan Tubeec (Mohamed Suleiman Tubec), 
mus00044c00709,Songs from the play “Doob qalanjadii gabay”,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12280",item,,"","","",Audiocassettes, , 
mus00044c00710,Side A. Track 1: Geesiga sidee baa loo helaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00711,Side A. Track 2: Ruuneey waxaa la yidhi,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00712,Side A. Track 3: Aboowe ii warran,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00713,Side A. Track 4: Ma doob loo xishaa jira,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00714,Side B. Track 1: Fadhiyaro geel,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00715,Side B. Track 2: Doob qalanjadii gabay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00716,Side B. Track 3: Nin xun xilo ha moodinin,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00717,Side B. Track 4: Heer Tumasho,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs from the play “Doob qalanjadii gabay”, 
mus00044c00718,"Songs from the Play ""Waa madays adduunyadu.""","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12281",item,,"","","",Audiocassettes, , 
mus00044c00719,Side A. Track 1: Adduunyooy waalaaleey,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00720,Side A. Track 2: Dhawrta idinkaa eh,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00721,Side A. Track 3: Dalxiis,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00722,Side B. Track 1: Waa la i heloo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00723,Side B. Track 2: Xaggeen talo kaga hagaagaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00724,Side B. Track 3: Calaf lama dago,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00725,Side B. Track 4: Masiibo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00726,Side B. Track 5: Taariikhdu waxbay hagtaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the Play ""Waa madays adduunyadu.""", 
mus00044c00727,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12282",item,,"","","",Audiocassettes, , 
mus00044c00728,Side A. Track 1: Hadda sii amba qaad,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00729,Side A. Track 2: Bal busaadeey,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00730,Side A. Track 3: Noloshaan u dudayaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00731,Side A. Track 4: Cakuyey naag madow,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00732,Side A. Track 5: Geed madi ah,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00733,"Side B. Track 1: Babbaaygii Jamaamiyo from the play ""Gaarabidhaan""","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00734,Side B. Track 2: Suleekha  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00735,Side B. Track 3: Hadda sii amba qaad ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the plays ""Gaarabidhaan"" and ""Hadimo""", 
mus00044c00736,Heeso xul ah (Mixed tape),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12283",item,,"","","",Audiocassettes, , 
mus00044c00737,Side A: Axmed Cali Cigaal (Ahmrf Ali Egal). Track 1: Nagi,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00738,Side A: Axmed Cali Cigaal (Ahmrf Ali Egal). Track 2: Allow ha ina kala lumen or Laxawgaagu badanaa,"",1982,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00739,Side A: Axmed Cali Cigaal (Ahmrf Ali Egal). Track 3: Hilaac walac yidhi,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00740,"Side B: Cigaal, Seynab Cige and Khadra Daahir. Track 1: Had iyo jeer hawlahaagaan","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00741,"Side B: Cigaal, Seynab Cige and Khadra Daahir. Track 2: Qalbi gudhan","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00742,"Side B: Cigaal, Seynab Cige and Khadra Daahir. Track 3: Aan muquurto keliday","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00743,"Side B: Cigaal, Seynab Cige and Khadra Daahir. Track 4: Sharcigu ma ku joojiyaa or Shanta dhaban baan hayaa","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape), 
mus00044c00744,Heeso xul ah (Mixed tape) ,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12284",item,,"","","",Audiocassettes, , 
mus00044c00745,Side A. Track 1: Qarad,"",1974,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00746,Side A. Track 2: Xakaba ,"",1972,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00747,Side A. Track 3: Siraadeey ,"",1972,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00748,Side A. Track 4: Raaxeeye (Qaraami) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00749,Side B. Track 1: Damaq jacayl  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00750,Side B. Track 2: Geeddi Roon Allahayoow or Guri wacan Allahayoow,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00751,Side B. Track 3: Jabaq iigu sheegaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00752,Side B. Track 4: Caynba Cayn Adduunyooy,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah (Mixed tape) , 
mus00044c00753,"Xasan Aadan Samatar (Hasan Aden Samatar) 
","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12285",item,,"","","",Audiocassettes, , 
mus00044c00754,Side A. Track 1: Beledweyn ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00755,Side A. Track 2: Ayaamaha,"",1975,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00756,Side A. Track 3: Iga tiiri caashaqa,"",1974,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00757,Side A. Track 4: Taswiirtii Siciida ,"",1976,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00758,Side B. Track 1: Balanbaalis ,"",1978,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00759,Side B. Track 2: Sidirgam ,"",1976,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00760,Side B. Track 3: Caashaqii la soo noqo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00761,Side B. Track 4: Guuleed ma joogaa,"",1976,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Xasan Aadan Samatar (Hasan Aden Samatar) 
", 
mus00044c00762,Xasan Aadan Samatar and Sahra Axmed,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12286",item,,"","","",Audiocassettes, , 
mus00044c00763,Side A. Track 1: Maalmaha qallooca,"",1978,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Xasan Aadan Samatar and Sahra Axmed, 
mus00044c00764,Side A. Track 2: Balanbaalis ,"",1978,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Xasan Aadan Samatar and Sahra Axmed, 
mus00044c00765,Side A. Track 3: Sayloo or Sanka kula raacaa,"",1978,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Xasan Aadan Samatar and Sahra Axmed, 
mus00044c00766,Side B. Track 1: Taswiirtii Siciida ,"",1976,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Xasan Aadan Samatar and Sahra Axmed, 
mus00044c00767,Side B. Track 2: Heesaha Wardheer,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Xasan Aadan Samatar and Sahra Axmed, 
mus00044c00768,Side B. Track 3: Gacantaada Midig ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Xasan Aadan Samatar and Sahra Axmed, 
mus00044c00769,Selection of Songs made by Lidwien Kapteijns,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12287",item,,"","","",Audiocassettes, , 
mus00044c00770,Side A. Track 1: Jacayl miyuu i sugayaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00771,Side A. Track 2: Miyaan seexan karayaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00772,Side A. Track 3: Tufaaxii aan tirsaday,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00773,Side A. Track 4: Tolmoonow jacaylka,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00774,Side B. Track 1: I lumisee,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00775,Side B. Track 2: Tiiraanyo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00776,Side B. Track 3: In la i talinaayo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00777,Side B. Track 4: Inakoon kala maarmayn ,"",1963-09-05,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00778,Side B. Track 5: Hoobeey Hoobey Hooy,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Selection of Songs made by Lidwien Kapteijns, 
mus00044c00779,Heeso xul ah – Djibouti (Mixed tape),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12288",item,,"","","",Audiocassettes, , 
mus00044c00780,Side A. Track 1: Diin,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00781,Side A. Track 2: Khamri yaanu idin hodin,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00782,Side A. Track 3: Garmaqaate warankiyo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00783,Side A. Track 4: Daydayo Asaaggay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00784,Side A. Track 5: Mahee Khadraay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00785,Side B. Track 1: Dahabooy 90,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00786,Side B. Track 2: Wahay wiil wacan,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00787,Side B. Track 3: Maxaa nabarka ugu wacan or Adna nawda iga daa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00788,Side B. Track 4: Waqtiyow,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heeso xul ah – Djibouti (Mixed tape), 
mus00044c00789,Heesaha Arooska (Selected Wedding Songs),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12289",item,,"","","",Audiocassettes, , 
mus00044c00790,Side A. Track 1: Hibiyo duco,"",1955,1991,AWM Spec Coll 103,,item,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00791,Side A. Track 2: Guurku yuun ragaad noqon ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00792,Side A. Track 3: Ladnaan ku waara ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00793,Side A. Track 4: Arooskeennii saldhigayee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00794,Side A. Track 5: Idileey,"",1963-04-06,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00795,Side B. Track 1: Weynow hayna kala wadin ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00796,"Side B. Track 2: Xamdi (from the play ""Xuskii Jacaylkii"")","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00797,"Side B. Track 3: Reerkii lagu nastee (From the play ""Hablayahow hadmaad guursan doontaan"")","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00798,Side B. Track 4: Xaafuun (Qaraami),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha Arooska (Selected Wedding Songs), 
mus00044c00799,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12290",item,,"","","",Audiocassettes, , 
mus00044c00800,"Side A. Track 1: Subcis (Qaraami, Qaaci) ","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00801,Side A. Track 2: Rifdoor ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00802,Side A. Track 3: Geelaa  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00803,Side B. Track 1: Adiga Haweeyaay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00804,Side B. Track 2: Inagoon kala maarmayn ,"",1963-09-05,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00805,Side B. Track 3: Ciil (Qaraami) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00806,Side B. Track 4: Indho deeraleey ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Qaraami: Faysal Cumar iyo Maxamed Suleebaan (Faisal Omar and Mohamed Suleiman), 
mus00044c00807,"Songs from the play ""Jinni iyo Jacayl""","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12291",item,,"","","",Audiocassettes, , 
mus00044c00808,Side A. Track 1: Mar haddaynu nahay gacal or Garashada xasuuso,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the play ""Jinni iyo Jacayl""", 
mus00044c00809,Side A. Track 2: Waranka caashaqa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the play ""Jinni iyo Jacayl""", 
mus00044c00810,Side A. Track 3: La gurguuro caashaqa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the play ""Jinni iyo Jacayl""", 
mus00044c00811,Side B. Track 1: Gabbaldaye,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the play ""Jinni iyo Jacayl""", 
mus00044c00812,Side B. Track 2: Waxba ha ii calaacalin or Calaacal,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the play ""Jinni iyo Jacayl""", 
mus00044c00813,Side B. Track 3: Yabaal  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs from the play ""Jinni iyo Jacayl""", 
mus00044c00814,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12292",item,,"","","",Audiocassettes, , 
mus00044c00815,Side A. Track 1: Waxaan yeelo yaa garan ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00816,Side A. Track 2: Rifdoor (Qaraami) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00817,Side A. Track 3: Nugul (Qaraami),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00818,Side A. Track 4: Noqnoqosho [incomplete],"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00819,Side B. Track 1: Daahirow Jacaylkii,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00820,Side B. Track 2: Indho Jacayl isma eegi karaan,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00821,Side B. Track 3: Shir walboo la joogo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00822,Side B. Track 4: Noqnoqosho ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Farxiya Cali, Siraad, iyo Sahra Axmed (Farhia Ali, Sirad, and Zahra Ahmed)", 
mus00044c00823,Songs of Sahro Axmed (Zahra Ahmed),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12293",item,,"","","",Audiocassettes, , 
mus00044c00824,Side A. Track 1: Rays iyo barwaaqiyo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of Sahro Axmed (Zahra Ahmed), 
mus00044c00825,Side A. Track 2: Iga daa qunbacashada,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of Sahro Axmed (Zahra Ahmed), 
mus00044c00826,Side A. Track 3: Muuq Iyo adaa qurux,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of Sahro Axmed (Zahra Ahmed), 
mus00044c00827,Side B. Track 1: Maxaa ifka u roonee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of Sahro Axmed (Zahra Ahmed), 
mus00044c00828,Side B. Track 2: Siddi Qabax ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of Sahro Axmed (Zahra Ahmed), 
